case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10302547,HY490998,11/05/2015 10:01:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,9,16,82,
10302570,HY491025,11/05/2015 07:00:00 AM,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,7,16,5,
10302571,HY490983,11/05/2015 10:25:00 PM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,7,17,101,
10302573,HY491008,11/05/2015 10:35:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,3,5,109,
10302574,HY491035,11/05/2015 11:40:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,9,16,82,
10302580,HY491042,11/05/2015 11:45:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,7,17,3,
10302581,HY491061,11/06/2015 12:36:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,8,14,14,
10302586,HY490940,11/05/2015 08:59:00 PM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,11,2,158,
10302588,HY491044,11/05/2015 11:50:00 PM,NARCOTICS,POSS: HEROIN(WHITE),STREET,7,6,5,
10302590,HY491058,11/06/2015 12:13:00 AM,NARCOTICS,POSS: BARBITUATES,STREET,5,34,8,
10302592,HY491081,11/06/2015 12:55:00 AM,OTHER OFFENSE,PAROLE VIOLATION,STREET,5,34,151,
10302604,HY491076,11/06/2015 12:32:00 AM,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,6,6,49,
10302609,HY491083,11/06/2015 01:32:00 AM,CRIMINAL TRESPASS,TO LAND,HOSPITAL BUILDING/GROUNDS,10,28,145,
10302612,HY491077,11/06/2015 12:10:00 AM,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,STREET,9,11,124,
10302616,HY491086,11/06/2015 01:20:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,1,2,156,
